simulation_id,weight_opportunity,weight_infrastructure,weight_competitive_headroom,weight_data_confidence,minimum_opportunity,minimum_infrastructure,objective_value,portfolio_iso3
131,0.28227956399577964,0.2754863551670831,0.31400729176450415,0.12822678907263313,328.76856587355314,238.59553202752986,368.1181645414142,BRA|CHN|IND|RUS|USA
132,0.3630876354457284,0.33068185025417585,0.22007888649693738,0.08615162780315835,292.88501215301545,244.7258006183974,379.4801622248294,BRA|CHN|IND|MEX|USA
133,0.32484716455043067,0.3157775975652874,0.17103706525906584,0.18833817262521607,327.3992420735715,252.65373761465005,380.8526665691943,BRA|CHN|IND|MEX|USA
134,0.3297309601179517,0.26199610478660545,0.24422688964700603,0.1640460454484368,291.69264943525974,231.1001766071347,377.38830410254616,BRA|CHN|IND|MEX|USA
135,0.26571001572621405,0.37968902654380526,0.23515998460798307,0.11944097312199756,277.86452469685406,262.6105985901561,369.4868535345586,BRA|CHN|IND|MEX|USA
136,0.3604606607429847,0.2635678695551028,0.15987666139461398,0.2160948083072986,310.14479149546617,229.5358189162925,386.0516343680877,BRA|CHN|IND|MEX|USA
137,0.3571204040242804,0.31591075176609756,0.21073206463817465,0.11623677957144754,325.2929932219591,257.09938598365426,380.22779939229986,BRA|CHN|IND|MEX|USA
138,0.37132072298100394,0.3514568661838271,0.16910136275435828,0.10812104808081067,288.35406860033044,231.84938679800706,383.3017459998277,BRA|CHN|IND|MEX|USA
139,0.2970393991287708,0.3297353003207974,0.25408362346879876,0.11914167708163292,282.5362102545109,254.60018130122464,372.00163131323933,BRA|CHN|IND|MEX|USA
140,0.36176788443804475,0.1975835960090286,0.26187345630525233,0.1787750632476743,314.2049099388214,271.00070052599267,380.5228949410997,BRA|CHN|IND|MEX|USA
141,0.2790349593928584,0.41367298884987,0.2136916790686953,0.09360037268857621,274.09987626219794,241.22350502800225,371.010377797659,BRA|CHN|IND|MEX|USA
142,0.34404336956384335,0.28675095515814825,0.18957127659159054,0.17963439868641767,292.4252085954942,227.81819226464305,381.8135073551764,BRA|CHN|IND|MEX|USA
143,0.3068099658743346,0.37450924448016115,0.2030488805449109,0.11563190910059341,327.80926872696745,262.68834947518326,375.16223879989326,BRA|CHN|IND|MEX|USA
144,0.31360228631165293,0.18888053153593212,0.25544745582693634,0.24206972632547857,297.9701748794922,236.5949663200732,377.7082280831126,BRA|CHN|IND|MEX|USA
145,0.19902516720560148,0.3599167568673695,0.1575959919696478,0.28346208395738137,319.8335052955728,273.7240861949595,371.072069295096,BRA|CHN|IND|MEX|USA
