iso3,relevant_studies,active_trials,recent_trials,location_rows,geocoded_rows,unique_facilities,repeat_facilities,sponsor_diversity,active_sponsor_count,country_name,region,population_2023,year,obesity_prevalence_pct,obese_population_proxy,active_trials_per_10m_proxy,location_completeness,indicator_recency,evidence_depth,screen_pass,screen_exclusion_reason,opportunity_score,infrastructure_score,competitive_headroom_score,data_confidence_score,attractiveness_score,rank
UKR,3,1,1,37,37,37,0,2,1,Ukraine,Europe & Central Asia,37732836.0,2022.0,22.80121,8603543.1753156,1.1623118285372205,1.0,0.2,0.32741131089043124,True,PASSED,45.84707617006036,17.44622290789188,81.18509666153896,60.4593958811651,48.35317327094518,21
ROU,11,8,10,155,153,118,29,4,4,Romania,Europe & Central Asia,19061062.0,2022.0,30.684757,5848840.55631934,13.677924578327673,0.9870967741935484,0.2,0.5868786359270762,True,PASSED,38.279542189207355,49.79258133755559,44.62273950092367,68.96010709615736,47.9213379976834,22
MYS,3,1,2,29,25,22,7,1,1,Malaysia,East Asia & Pacific,35126298.0,2022.0,22.010197,7731367.388607061,1.2934322607325575,0.8620689655172413,0.2,0.32741131089043124,True,PASSED,43.75115198375514,20.07007906255588,80.41674409419527,54.252499329440965,47.38843023685827,23
SAU,2,1,2,10,8,10,0,2,1,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",33702731.0,2022.0,39.549473,13329252.49710763,0.750229617314995,0.8,0.2,0.25946732503664494,True,PASSED,54.43143592119516,5.410172062143357,83.94455329843909,49.08135637628258,46.30082417605371,24
HUN,15,8,13,148,146,118,22,3,3,Hungary,Europe & Central Asia,9592186.0,2022.0,30.384585,2914545.9085281002,27.44852972324649,0.9864864864864865,0.2,0.6548226217808625,True,PASSED,24.621624106268815,49.617761859061495,38.8028638712853,71.31068365422209,42.669134305553726,25
CHL,2,2,2,17,16,17,0,2,2,Chile,Latin America & Caribbean,19658835.0,2022.0,38.608992,7590078.0324432,2.6350190227968078,0.9411764705882353,0.2,0.25946732503664494,True,PASSED,43.38949479146894,9.462614663608973,69.2873351207148,55.434297552753165,41.49261124961505,26
KOR,12,8,10,88,80,71,11,4,4,"Korea, Rep.",East Asia & Pacific,51712619.0,2022.0,7.3913254,3822247.943152226,20.930091712999555,0.9090909090909091,0.2,0.6057829094937964,True,PASSED,29.937980417502665,42.4467486827375,39.38243042604217,66.11149274137378,41.47775024778866,27
CZE,22,19,21,218,205,159,38,5,5,Czechia,Europe & Central Asia,10864042.0,2022.0,25.573215,2778284.8183503,68.38751691153784,0.9403669724770642,0.2,0.740532674963355,True,PASSED,23.682762588851386,58.204535659261644,22.04773270798362,72.23515738518532,40.913396259207616,28
GRC,15,11,13,123,121,75,25,4,3,Greece,Europe & Central Asia,10407351.0,2022.0,26.966581,2806506.73736931,39.19463243587611,0.983739837398374,0.2,0.6548226217808625,True,PASSED,23.880941874449004,47.35666351292201,34.29183902823376,71.18708444525701,40.622304040058296,29
NLD,12,8,9,118,118,83,24,4,3,Netherlands,Europe & Central Asia,17877117.0,2022.0,14.481732,2588916.1732664397,30.900961887485092,1.0,0.2,0.6057829094937964,True,PASSED,22.298509490683312,46.696468338558326,37.30796785072865,70.20240183228287,40.55584558629708,30
