iso3,country_name,region,population_2023
MRT,Mauritania,Sub-Saharan Africa,5022441
MUS,Mauritius,Sub-Saharan Africa,1248647
MWI,Malawi,Sub-Saharan Africa,21104482
MYS,Malaysia,East Asia & Pacific,35126298
NAM,Namibia,Sub-Saharan Africa,2963095
NCL,New Caledonia,East Asia & Pacific,289870
NER,Niger,Sub-Saharan Africa,26159867
NGA,Nigeria,Sub-Saharan Africa,227882945
NIC,Nicaragua,Latin America & Caribbean,6823613
NLD,Netherlands,Europe & Central Asia,17877117
NOR,Norway,Europe & Central Asia,5519601
NPL,Nepal,South Asia,29694614
NRU,Naoero,East Asia & Pacific,11875
NZL,New Zealand,East Asia & Pacific,5200000
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",5049269
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",247504495
PAN,Panama,Latin America & Caribbean,4458759
PER,Peru,Latin America & Caribbean,33845617
PHL,Philippines,East Asia & Pacific,114891199
PLW,Palau,East Asia & Pacific,17727
PNG,Papua New Guinea,East Asia & Pacific,10389635
POL,Poland,Europe & Central Asia,36687353
PRI,Puerto Rico (US),Latin America & Caribbean,3203794
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,26418204
PRT,Portugal,Europe & Central Asia,10578174
PRY,Paraguay,Latin America & Caribbean,6844146
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",5165775
PYF,French Polynesia,East Asia & Pacific,281118
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",2656032
ROU,Romania,Europe & Central Asia,19061062
RUS,Russian Federation,Europe & Central Asia,143826130
RWA,Rwanda,Sub-Saharan Africa,13954471
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",33702731
SDN,Sudan,Sub-Saharan Africa,50042791
SEN,Senegal,Sub-Saharan Africa,18077573
SGP,Singapore,East Asia & Pacific,5917648
SLB,Solomon Islands,East Asia & Pacific,800005
SLE,Sierra Leone,Sub-Saharan Africa,8460512
SLV,El Salvador,Latin America & Caribbean,6309624
SMR,San Marino,Europe & Central Asia,33860
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,18358615
SRB,Serbia,Europe & Central Asia,6623183
SSD,South Sudan,Sub-Saharan Africa,11483374
STP,Sao Tome and Principe,Sub-Saharan Africa,230871
SUR,Suriname,Latin America & Caribbean,628886
SVK,Slovak Republic,Europe & Central Asia,5426740
SVN,Slovenia,Europe & Central Asia,2120461
SWE,Sweden,Europe & Central Asia,10536632
SWZ,Eswatini,Sub-Saharan Africa,1230506
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,42749
SYC,Seychelles,Sub-Saharan Africa,119773
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",23594623
TCA,Turks and Caicos Islands,Latin America & Caribbean,46198
TCD,Chad,Sub-Saharan Africa,19319064
TGO,Togo,Sub-Saharan Africa,8223850
THA,Thailand,East Asia & Pacific,71702435
TJK,Tajikistan,Europe & Central Asia,10389799
TKM,Turkmenistan,Europe & Central Asia,7364438
TLS,Timor-Leste,East Asia & Pacific,1384286
TON,Tonga,East Asia & Pacific,104597
TTO,Trinidad and Tobago,Latin America & Caribbean,1367510
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",12200431
TUR,Turkiye,Europe & Central Asia,85325965
TUV,Tuvalu,East Asia & Pacific,9816
TZA,Tanzania,Sub-Saharan Africa,66617606
UGA,Uganda,Sub-Saharan Africa,48656601
UKR,Ukraine,Europe & Central Asia,37732836
URY,Uruguay,Latin America & Caribbean,3388081
USA,United States,North America,336755052
UZB,Uzbekistan,Europe & Central Asia,35652307
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,101323
VEN,"Venezuela, RB",Latin America & Caribbean,28300854
VGB,British Virgin Islands,Latin America & Caribbean,38985
VIR,Virgin Islands (U.S.),Latin America & Caribbean,104917
VNM,Viet Nam,East Asia & Pacific,100352192
VUT,Vanuatu,East Asia & Pacific,320409
WSM,Samoa,East Asia & Pacific,216663
XKX,Kosovo,Europe & Central Asia,1682668
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",39390799
ZAF,South Africa,Sub-Saharan Africa,63212384
ZMB,Zambia,Sub-Saharan Africa,20723965
ZWE,Zimbabwe,Sub-Saharan Africa,16340822
