nct_id,condition_name
NCT02041754,Weight Loss
NCT02041754,Appetite Modulation (Focus of Study)
NCT00263042,Cardiovascular Disease
NCT03926052,Binge-Eating Disorder
NCT03926052,Obesity
NCT04844918,Obesity
NCT04102189,Overweight
NCT04102189,Obesity
NCT00165685,Obesity
NCT04599478,Loss-of-control Eating
NCT04599478,Obesity/Overweight
NCT01814072,Weight Loss
NCT07226765,Obstructive Sleep Apnea
NCT02754258,Obesity
NCT07684235,Obesity
NCT07684235,Overweight
NCT00202748,Type 2 Diabetes
NCT00166699,Obesity
NCT00166699,Pregnancy
NCT06904105,Overweight
NCT06904105,Obesity
NCT00781937,Metabolism and Nutrition Disorder
NCT00781937,Obesity
NCT00896545,Overweight
NCT01106053,Binge Eating Disorder
NCT00567255,Obesity
NCT00567255,Overweight
NCT01546792,Obstructive Sleep Apnoea
NCT01546792,Obesity
NCT00566189,"Diabetes Mellitus, Type 2"
NCT00566189,Insulin Resistance
NCT00566189,Obesity
NCT02963935,Metabolism and Nutrition Disorder
NCT02963935,Obesity
NCT06184568,Type 2 Diabetes
NCT06184568,Obesity
NCT03192566,"Obesity, Childhood"
NCT02355041,Obesity
NCT00600483,Cardiac Surgery
NCT00600483,Sternal Wound Infection
NCT01114451,Wound Complications
NCT01114451,Obesity
NCT02832219,Obesity
NCT02564445,Weight Loss
NCT02564445,Obesity
NCT02564445,Physical Activity
NCT06972459,Obesity
NCT06972459,Overweight
NCT00807768,Endometrial Clear Cell Adenocarcinoma
NCT00807768,Endometrial Serous Adenocarcinoma
NCT00807768,Fatigue
NCT00807768,Neurotoxicity Syndrome
NCT00807768,Obesity
NCT00807768,Stage I Uterine Corpus Cancer AJCC v7
NCT00807768,Stage II Uterine Corpus Cancer AJCC v7
NCT01724970,Morbid Obesity
NCT01242241,Pharmacodynamics
NCT01242241,Obesity
NCT00737347,Type 2 Diabetes
NCT00737347,Obesity
NCT05064735,Obesity
NCT04697381,Prader-Willi Syndrome
NCT00541567,Obesity and Type 2 Diabetes
NCT05457530,Body Weight Changes
NCT05457530,Human Immunodeficiency Virus
NCT05457530,ART
NCT05457530,Obesity
NCT05457530,Minority Health
NCT05457530,BMD
NCT05457530,Metabolic Syndrome
NCT05457530,Fasting
NCT02527200,Metabolism and Nutrition Disorder
NCT02527200,Obesity
NCT05649137,Obesity
NCT05649137,"Diabetes Mellitus, Type 2"
NCT07282600,Overweight
NCT07282600,Obesity
NCT00823992,Diabetes Mellitus Type 2
NCT01607177,Perioperative Care
NCT01607177,Bariatric Surgery
NCT01607177,Obesity
NCT07629544,Overweight and Obesity
NCT01552642,Child
NCT01552642,Obesity
NCT01552642,Overweight
NCT00038727,Diabetes Mellitus
NCT00038727,Cancer
NCT00038727,CVD
NCT06937086,Ulcerative Colitis
NCT06937086,Obesity or Overweight
NCT02147041,Diabetes Mellitus
NCT02147041,Hyperlipidemia
NCT02227420,Metabolic Syndrome
NCT02227420,Hypersecretion; Cortisol
NCT07648225,Obesity & Overweight
NCT04660643,Obesity
NCT04660643,Overweight
NCT00395135,Obesity
NCT06174779,Obesity
NCT04131582,Prediabetic State
NCT04131582,Insulin Resistance
NCT07321886,Obesity
NCT07321886,Overweight
NCT03287960,Leptin Receptor Deficiency Obesity
NCT06948435,Hypertension
NCT06948435,Overweight or Obesity
NCT00123526,Obesity
NCT00123526,Cardiovascular Diseases
NCT00123526,Heart Diseases
NCT01601704,Obesity
NCT01601704,Overweight
NCT00234832,Obesity
NCT00414505,Obesity
NCT06214741,Obesity
NCT06214741,Overweight
NCT06987383,Obesity
NCT04847557,Obesity
NCT04847557,Heart Failure With Preserved Ejection Fraction (HFpEF)
NCT04251156,Overweight
NCT04251156,Obesity
NCT04251156,"Diabetes Mellitus, Type 2"
NCT00481975,Obesity
NCT00481975,Eating Disorders
NCT07197034,Hyperphagia
NCT07197034,Prader-Willi Syndrome
NCT07197034,Hyperphagia in Prader-Willi Syndrome
NCT00976937,Type 2 Diabetes Mellitus
NCT00746902,Refractory Hypertension
NCT07285902,Obesity
NCT05803421,Type 2 Diabetes
NCT05803421,Obesity
NCT05803421,Overweight or Obesity
NCT05803421,Overweight
NCT05803421,Cardiovascular Diseases
NCT05803421,Chronic Kidney Disease
NCT06950138,Obesity
NCT06950138,Vascular Risk
NCT00993278,Cardiovascular Health
NCT00993278,Obesity
NCT07434050,OSA - Obstructive Sleep Apnea
NCT07434050,Obesity
NCT04134650,Prediabetic State
NCT04134650,Insulin Resistance
NCT00553852,Obesity
NCT00553852,GHD
NCT01258114,Overweight
NCT01258114,Obesity
NCT00299325,Metabolic Syndrome
NCT01855217,Neuromuscular Blockade
NCT02786108,Morbid Obesity
NCT02398188,Central Abdominal Bulging
NCT06939296,Obesity
NCT06939296,Overweight
NCT06885021,Overweight and Obesity
NCT02008474,Obesity
NCT07357766,Overweight
NCT07357766,Obesity
NCT01315366,Hypovitaminosis D
NCT01315366,Insulin Resistance
NCT01315366,Obesity
NCT01315366,Osteoporosis
NCT05667038,Obesity
NCT05667038,Adult
NCT00236600,Obesity
NCT00594399,Impaired Glucose Tolerance
NCT00594399,Obesity
NCT00594399,Diabetes
NCT07400107,Obesity
NCT07400107,Overweight
NCT07400107,"Diabetes Mellitus, Type 2"
NCT05209984,Overweight
NCT05209984,Obesity
NCT02417103,Obesity
NCT00526565,Obesity
NCT07284511,Type 1 Diabetes
NCT07284511,Type 1 Diabetes Mellitus
NCT07284511,T1D
NCT07284511,T1DM
NCT07284511,T1DM - Type 1 Diabetes Mellitus
NCT01697566,Gynecology
NCT07446439,Nausea and Vomiting
NCT07446439,Obesity
NCT00000519,Cardiovascular Diseases
NCT00000519,Coronary Disease
NCT00000519,Heart Diseases
