nct_id,sponsor_role,sponsor_name,sponsor_class
NCT00481923,LEAD,Sanofi,INDUSTRY
NCT02122029,LEAD,Harokopio University,OTHER
NCT02122029,COLLABORATOR,"The University of Texas Medical Branch, Galveston",OTHER
NCT04283578,LEAD,"University Hospital, Toulouse",OTHER
NCT04283578,COLLABORATOR,International Clinical Trials Association,OTHER
NCT04283578,COLLABORATOR,Epidemiological and Clinical Research Information Network,OTHER
NCT00479609,LEAD,Karolinska Institutet,OTHER
NCT00479609,COLLABORATOR,Karolinska University Hospital,OTHER
NCT00479609,COLLABORATOR,Southern Hospital Stockholm,UNKNOWN
NCT00479609,COLLABORATOR,UroHealth Skövde,UNKNOWN
NCT00479609,COLLABORATOR,Universitätsklinikum MünsterInstitut für Reproduktionsmedizin,UNKNOWN
NCT00479609,COLLABORATOR,Krankenanstalt der Stadt Wien Rudolfstiftung,UNKNOWN
NCT00479609,COLLABORATOR,Medical University of Graz,OTHER
NCT00479609,COLLABORATOR,Krankenhaus der Stadt Wien Lainz,UNKNOWN
NCT00479609,COLLABORATOR,Medical University of Vienna,OTHER
NCT00479609,COLLABORATOR,Endokrinologikum Hamburg,UNKNOWN
NCT00479609,COLLABORATOR,"Charite University, Berlin, Germany",OTHER
NCT06363747,LEAD,Durham VA Medical Center,FED
NCT06363747,COLLABORATOR,Société des Produits Nestlé (SPN),INDUSTRY
NCT03585413,LEAD,"Bonn Education Association for Dietetics r.A., Cologne, Germany",INDUSTRY
NCT03585413,COLLABORATOR,St. Franziskus Hospital,OTHER
NCT03585413,COLLABORATOR,University of Bonn,OTHER
NCT03585413,COLLABORATOR,FormMed HealthCare AG,UNKNOWN
NCT00138710,LEAD,Rijnstate Hospital,OTHER
NCT00231621,LEAD,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY
NCT04889183,LEAD,University Medical Center Groningen,OTHER
NCT04889183,COLLABORATOR,Novo Nordisk A/S,INDUSTRY
NCT02978105,LEAD,"University of Turin, Italy",OTHER
NCT05024032,LEAD,Eli Lilly and Company,INDUSTRY
NCT00195858,LEAD,Ottawa Hospital Research Institute,OTHER
NCT00195858,COLLABORATOR,Canadian Institutes of Health Research (CIHR),OTHER_GOV
NCT00195858,COLLABORATOR,Canadian Diabetes Association,OTHER
NCT05996848,LEAD,Novo Nordisk A/S,INDUSTRY
NCT06858878,LEAD,Amgen,INDUSTRY
NCT01659450,LEAD,Isfahan University of Medical Sciences,OTHER
NCT06588296,LEAD,Eli Lilly and Company,INDUSTRY
NCT07339423,LEAD,Novo Nordisk A/S,INDUSTRY
NCT00392717,LEAD,The University of Western Australia,OTHER
NCT00563368,LEAD,VIVUS LLC,INDUSTRY
NCT00563368,COLLABORATOR,"Medpace, Inc.",INDUSTRY
NCT03063606,LEAD,Yale University,OTHER
NCT03063606,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT06619015,LEAD,Esbjerg Hospital - University Hospital of Southern Denmark,OTHER
NCT01040468,LEAD,University of Pennsylvania,OTHER
NCT01040468,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT02108691,LEAD,Hanyang University,OTHER
NCT00108589,LEAD,US Department of Veterans Affairs,FED
NCT01764386,LEAD,"Orexigen Therapeutics, Inc",INDUSTRY
NCT05931380,LEAD,Eli Lilly and Company,INDUSTRY
NCT01792362,LEAD,Royan Institute,OTHER_GOV
NCT04605861,LEAD,Shanghai Zhongshan Hospital,OTHER
NCT07622290,LEAD,Prof Ibrahim Janahi,OTHER
NCT04741074,LEAD,Geisinger Clinic,OTHER
NCT06962280,LEAD,Eli Lilly and Company,INDUSTRY
NCT00783445,LEAD,Johns Hopkins University,OTHER
NCT00783445,COLLABORATOR,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT07036172,LEAD,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",INDUSTRY
NCT05405244,LEAD,"University of North Carolina, Chapel Hill",OTHER
NCT05405244,COLLABORATOR,American Diabetes Association,OTHER
NCT02654665,LEAD,Changi General Hospital,OTHER
NCT06423599,LEAD,"Jens D Hove, MD,PHD",OTHER
NCT06383390,LEAD,Eli Lilly and Company,INDUSTRY
NCT04086810,LEAD,"Soleno Therapeutics, Inc.",INDUSTRY
NCT04788511,LEAD,Novo Nordisk A/S,INDUSTRY
NCT02204163,LEAD,LG Life Sciences,INDUSTRY
